News Highlights,Publisher Name,Publisher Gmail,Publisher Twitter,News URL,Date,News Image
"To lead in cyberspace, the EU needs to avoid digital tribalism",PATRYK PAWLAK,none,none,https://euobserver.com/digital-eu/156483,"BRUSSELS, 6. JAN, 07:00",https://media.euobserver.com/d4a9c33ac6faca3af69878f099f8cbf5-800x.jpg
"EU files: How to get them, how to leak them, and what's the point?",ANDREW RETTMAN,mailto:ar@euobs.com,https://twitter.com/apsyrtus,https://euobserver.com/world/156563,"BRUSSELS, 29. DEC 2022, 07:25",https://media.euobserver.com/1c9bd33c4efa338cb924aea0a5d79513-800x.jpg
How does 'Digital Strategic Autonomy' really work?,DR ANTONIOS NESTORAS AND FRANCESCO CAPPELLETTI,none,none,https://euobserver.com/digital-eu/156476,"BRUSSELS, 28. DEC 2022, 07:00",https://media.euobserver.com/4801f7ae5181a34ab8b8749721e182be-800x.jpg
Vestager: 'Technology must not steal our time',ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital-eu/156473,"BRUSSELS, 27. DEC 2022, 07:00",https://media.euobserver.com/ff79c9c762ff81e7e8417894e1319bd0-800x.jpg
EU regulators have a bigger bird to fry than Twitter. It's TikTok,DIMITAR LILKOV,none,none,https://euobserver.com/opinion/156541,"BRUSSELS, 19. DEC 2022, 12:20",https://media.euobserver.com/fa4150fb3857ea43c4170bdcb1c1b9f5-800x.jpg
Where the US-China microchip wars leave the EU,DIMITAR LILKOV,none,none,https://euobserver.com/opinion/156355,"BRUSSELS, 28. OCT 2022, 11:51",https://media.euobserver.com/e357f87ae0e6c17561d931a70f53ccb2-800x.jpg
Central banks can't fight inflation alone — their tools are too blunt,WESTER VAN GAAL,mailto:wvg@euobserver.com,https://twitter.com/Westervangaal,https://euobserver.com/green-economy/156292,"BRUSSELS, 17. OCT 2022, 13:58",https://media.euobserver.com/9f19fe4568585f1c9ab5236e2259e642-800x.jpg
"MEPs adopt new digital 'rule book', amid surveillance doubts",ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/digital/155437,"STRASBOURG, 6. JUL 2022, 07:09",https://media.euobserver.com/2d62fc8fb6a9ccafcbe48ccd8ce428ae-800x.jpg
Czech presidency and key nuclear/gas vote This WEEK,ELENA SÁNCHEZ NICOLÁS,none,none,https://euobserver.com/agenda/155406,"BRUSSELS, 4. JUL 2022, 06:57",https://media.euobserver.com/fcd8191681546114c943cc74f515473f-800x.jpg
ECB rate-setting versus green climate goals,WESTER VAN GAAL,mailto:wvg@euobserver.com,https://twitter.com/Westervangaal,https://euobserver.com/green-economy/155269,"BRUSSELS, 20. JUN 2022, 13:15",https://media.euobserver.com/6690fb46659fd2649ca2d2baebbd5cee-800x.jpg
